Image Path,Sky Label
weather\00982f76-83a093ef.jpg,1
weather\00b1dfed-a89dbe2b.jpg,1
weather\00c17a92-d4803287.jpg,1
weather\00d5edb9-f0077df3.jpg,1
weather\026501c2-16c41a5d.jpg,1
weather\03112119-a36f2a78.jpg,1
weather\03112119-f1d28776.jpg,1
weather\03112119-f95037cc.jpg,1
weather\040dfa50-4082932d.jpg,1
weather\04262895-e1b3c150.jpg,1
weather\045d32b5-31a5a2dd.jpg,1
weather\04629c39-faefdb18.jpg,1
weather\04c1910d-7df8b6d0.jpg,1
weather\04c1910d-a814be1b.jpg,1
weather\04e4e23f-b4b54d4c.jpg,1
weather\0505c36e-579b416c.jpg,1
weather\05771267-21b7a725.jpg,1
weather\065334d1-add77611.jpg,1
weather\0656c6ac-751578f2.jpg,1
weather\07454314-6c00ff73.jpg,1
weather\076399f2-6c2cdfd0.jpg,1
weather\0817823b-8a8657e7.jpg,1
weather\0859694a-cc860d1e.jpg,1
weather\08688b9f-1a6e302c.jpg,1
weather\08688b9f-2889013f.jpg,1
weather\08688b9f-4e2c11c8.jpg,1
weather\08688b9f-59041747.jpg,1
weather\08688b9f-cdfc0599.jpg,1
weather\08fd4409-a0d4378a.jpg,1
weather\09993b50-7578df99.jpg,1
weather\09d0e634-7b5c9cdb.jpg,1
weather\0a48c5ed-38e5a6e1.jpg,1
weather\0a5b3a25-81c3be4d.jpg,1
weather\0a9b5ae6-64c75d7a.jpg,1
weather\0b0c5455-b2513b86.jpg,1
weather\0b3d47ed-6cb90089.jpg,1
weather\0b4b161a-ac3c2201.jpg,1
weather\0b4c8138-adfdfb43.jpg,1
weather\0bc866ed-1abb6bcd.jpg,1
weather\0bc866ed-65b95343.jpg,1
weather\0bed85e1-72950ce8.jpg,1
weather\0c2f0e6d-c9334af1.jpg,1
weather\0c775a1a-4f7ad1e4.jpg,1
weather\0c894a07-012172fc.jpg,1
weather\0cc6dc2e-abf312a7.jpg,1
weather\0cdaa475-100fd615.jpg,1
weather\0d034e14-638e9c7f.jpg,1
weather\0d1fc580-3be6937e.jpg,1
weather\0d1fc580-6192f7bd.jpg,1
weather\0d30a992-984c8c78.jpg,1
weather\0d3a8582-d018e1f6.jpg,1
weather\0d5cc7fb-45e17cc3.jpg,1
weather\0d5cc7fb-f05472a7.jpg,1
weather\0d9ca9fa-debaa238.jpg,1
weather\0db65573-d7355381.jpg,1
weather\0de9ebfa-66200148.jpg,1
weather\0de9ebfa-d81de296.jpg,1
weather\0e14e3cd-978c579e.jpg,1
weather\0e8e5273-bd0900d0.jpg,1
weather\0ead45b1-cc3c9a49.jpg,1
weather\0f3eb2eb-ba8591e8.jpg,1
weather\0f6f1106-afb666b0.jpg,1
weather\0fb0e6f3-ce79dfa4.jpg,1
weather\0fc3f3c1-60c29dcd.jpg,1
weather\0fd80b1d-a3914fc8.jpg,1
weather\1025cadf-31c4023d.jpg,1
weather\10d86362-2cae28e2.jpg,1
weather\10e029cb-8835dd70.jpg,1
weather\11409559-f3c4582b.jpg,1
weather\11487784-d64ef08d.jpg,1
weather\118dafdf-68fbc282.jpg,1
weather\118dafdf-949071dd.jpg,1
weather\11a93b51-496acae5.jpg,1
weather\11a93b51-57ee34c8.jpg,1
weather\11b29f2e-384d3a03.jpg,1
weather\11c5dbd4-63f0dade.jpg,1
weather\11dc1774-4bd80023.jpg,1
weather\11dc1774-6942564c.jpg,1
weather\11dc1774-6eb9c063.jpg,1
weather\11dc1774-812e76a9.jpg,1
weather\11dc1774-9647e9b0.jpg,1
weather\11dc1774-e4217b25.jpg,1
weather\11dc1774-fe9ed6d3.jpg,1
weather\12f1cb99-7307a046.jpg,1
weather\1359850e-434de2eb.jpg,1
weather\1380820f-6a5e1c3e.jpg,1
weather\1462e08b-8ee18629.jpg,1
weather\1494619f-87888b77.jpg,1
weather\154abd03-0bd8a8c5.jpg,1
weather\15b8be6c-ab5d258f.jpg,1
weather\164e3cd1-f44e9a7d.jpg,1
weather\168a2c99-c74274d0.jpg,1
weather\168adbe1-ce94a4f7.jpg,1
weather\1698c1ee-02b63e18.jpg,1
weather\1698c1ee-5ac17e4e.jpg,1
weather\1698c1ee-7a532c1a.jpg,1
weather\1698c1ee-aba7bdec.jpg,1
weather\16cb1401-63121a11.jpg,1
weather\16cb1401-cb86663d.jpg,1
weather\1700ed3c-688861aa.jpg,1
weather\1726cb3c-ea16b779.jpg,1
weather\17ebf0a9-997c772c.jpg,1
weather\17ebf0a9-b38d31c3.jpg,1
weather\17ffc2bb-779e2edb.jpg,1
weather\17ffc2bb-7f08d1a5.jpg,1
weather\1816310a-99261060.jpg,1
weather\185382a2-c675f6d9.jpg,1
weather\186e5d19-8d1ddc72.jpg,1
weather\18957aec-54dca9ef.jpg,1
weather\18957aec-b99a0101.jpg,1
weather\18f38f86-8183d215.jpg,1
weather\191e2dd9-b6147847.jpg,1
weather\1951ea4e-6954acff.jpg,1
weather\19553be9-4bf96be6.jpg,1
weather\197895bf-58aedbb8.jpg,1
weather\1a0b97c6-9c4bfc8b.jpg,1
weather\1a2f2112-f566a272.jpg,1
weather\1a760b64-33c25ec5.jpg,1
weather\1afb0a1d-731e639e.jpg,1
weather\1afb0a1d-8532b6d9.jpg,1
weather\1b1c89ca-db61f933.jpg,1
weather\1d24537d-f291dab4.jpg,1
weather\1e1cf714-a33c13f2.jpg,1
weather\1f621be0-5b90451f.jpg,1
weather\1f864b3f-40dfcddf.jpg,1
weather\1f864b3f-e4948386.jpg,1
weather\1f864b3f-e658daa2.jpg,1
weather\1f864b3f-eb4370e5.jpg,1
weather\1fd477a9-8fad8a7a.jpg,1
weather\206c3ab3-3f57f9cc.jpg,1
weather\20964b40-70cb3058.jpg,1
weather\2124bfce-4b4303dd.jpg,1
